"id","author","author-aux","author-orcid","booktitle","cdate","cdrom","cite","cite-label","crossref","editor","editor-orcid","ee","ee-type","i","journal","key","mdate","month","note","note-type","number","pages","publisher","publtype","sub","sup","title","title-bibtex","tt","url","volume","year"
"0","Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom","","","","","","","","","","","https://spectreattack.com/spectre.pdf","oa","","meltdownattack.com","tr/meltdown/s18","2020-06-25","","","","","","","informal","","","Spectre Attacks: Exploiting Speculative Execution.","","","","","2018"
"1","Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom","","","","","","","","","","","https://meltdownattack.com/meltdown.pdf","oa","","meltdownattack.com","tr/meltdown/m18","2020-06-25","","","","","","","informal","","","Meltdown","","","","","2018"
"3","Frank Manola","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TR-0263-08-94-165","2019-10-25","August","","","","","","informal","","","An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","","","db/journals/gtelab/index.html#TR-0263-08-94-165","TR-0263-08-94-165","1994"
"4","Michael L. Brodie|Michael Stonebraker","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TR-0222-10-92-165","2019-10-25","March","This report is also available as a Technical Memorandum of Electronics Research Laboratory, College of Engineering, University of California, Berkeley.","","","","","informal","","","DARWIN: On the Incremental Migration of Legacy Information Systems","","","db/journals/gtelab/index.html#TR-0222-10-92-165","TR-0222-10-92-165","1993"
"5","Farshad Nayeri|Joe D. Morrison|Mark F. Hornick","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TR-0174-12-91-165","2019-10-25","December","","","","","","informal","","","Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","","","db/journals/gtelab/index.html#TR-0174-12-91-165","TR-0174-12-91-165","1991"
"6","Frank Manola","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TM-0149-06-89-165","2019-10-25","June","","","","","","informal","","","Object Model Capabilities For Distributed Object Management.","","","db/journals/gtelab/index.html#TM-0149-06-89-165","TM-0149-06-89-165","1989"
"8","Alejandro P. Buchmann|Dimitrios Georgakopoulos|M. Tamer Özsu","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TR-0146-06-91-165","2019-10-25","June","","","","","","informal","","","Towards a Transaction Management System for DOM.","","","db/journals/gtelab/index.html#TR-0146-06-91-165","TR-0146-06-91-165","1991"
"11","Frank Manola","","","","","","","","","","","","","","GTE Laboratories Incorporated","tr/gte/TR-0169-12-91-165","2019-10-25","December","","","","","","informal","","","Object Data Language Facilities for Multimedia Data Types.","","","db/journals/gtelab/index.html#TR-0169-12-91-165","TR-0169-12-91-165","1991"
"15","Michael Stonebraker","","","","","","","","","","","","","","University of California at Berkeley","tr/ucb/erl-m79-28","2017-06-08","May","","","","","","informal","","","Muffin: A Distributed Database Machine","","","","UCB/ERL M79/28","1979"
"18","Phil Shaw","","","","","SQL/X3H2-90-292.pdf","","","","","","","","","ANSI X3H2","tr/sql/X3H2-90-292","2019-10-25","","","","","","","informal","","","Modification of User Defined Types","","","db/conf/x3h2/index.html#X3H2-90-292","X3H2-90-292","1990"
"23","Claus-Rainer Rollinger|Werner Emde","","","","","","","","","","","","","","LILOG-Report","tr/ibm/LILOG15","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Wissensrepräsentation und Maschinelles Lernen","","","","15","1987"
"25","Ido Dagan|Ulrike Rackow|Ulrike Schwall","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS225","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","","","","225","1992"
"34","Egon Börger","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS111","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","A Logical Operational Semantics of Full Prolog","","","","111","1990"
"37","Gisela Schöpke","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS188","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","","","","188","1991"
"40","Bernd Walter|Rudi Studer","","","","","","","","","","","","","","LILOG-Report","tr/ibm/LILOG3","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","","","","3","1986"
"44","Christoph Beierle","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS163","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","An Overview on Planning Applications in PROTOS-L","","","","163","1991"
"46","Gert Smolka|Manfred Schmidt-Schauß","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS68","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Attributive Concept Descriptions with Unions and Complements","","","","68","1989"
"52","Stefan J. Schierholz","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS212","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Syntaktische Informationseinheiten zu deutschen Adjektiven","","","","212","1992"
"55","Gudrun Klose","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS180","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Prozedurale Semantik. Repräsentation der Sprechergegenwart.","","","","180","1991"
"60","Christoph Beierle|Udo Pletat","","","","","","","","","","","","","","LILOG-Report","tr/ibm/LILOG38","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Semantics of Logic Programs with Equational Abstract Data Type Specifications","","","","38","1988"
"62","Angelika Storrer|Brigitte Bläser|Ulrike Schwall","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS231","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","A Reusable Lexical Database Tool for Machine Translation","","","","231","1992"
"68","Peter H. Schmitt","","","","","","","","","","","","","","LILOG-Report","tr/ibm/LILOG27","2017-06-08","","","","","","IBM Deutschland GmbH","informal","","","Eine dreiwertige Logik zur Verarbeitung partieller Information","","","","27","1987"
"71","Martin Hübner|Ulrike Weiland","","","","","","","","","","","","","","IWBS Report","tr/ibm/IWBS114","2017-06-08","","","","","","IBM Germany Science Center, Institute for Knowledge Based Systems","informal","","","Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","","","","114","1990"
